song,date
/single/Nothing%20Breaks%20Like%20A%20Heart/Mark%20Ronson%20Featuring%20Miley%20Cyrus/,2019-01-19
/single/Good%20Girl/Dustin%20Lynch/,2019-01-19
/single/Sixteen/Thomas%20Rhett/,2019-01-19
/single/Crushed%20Up/Future/,2019-01-19
/single/Burning%20Man/Dierks%20Bentley%20Featuring%20Brothers%20Osborne/,2019-01-19
/single/Backin%27%20It%20Up/Pardison%20Fontaine%20Featuring%20Cardi%20B/,2019-01-19
/single/Look%20Back%20At%20It/A%20Boogie%20Wit%20da%20Hoodie/,2019-01-19
/single/Girl%20Like%20You/Jason%20Aldean/,2019-01-19
/single/This%20Feeling/The%20Chainsmokers%20Featuring%20Kelsea%20Ballerini/,2019-01-19
/single/Consequences/Camila%20Cabello/,2019-01-19
/single/This%20Is%20It/Scotty%20McCreery/,2019-01-19
/single/Armed%20and%20Dangerous/Juice%20WRLD/,2019-01-19
/single/Arms%20Around%20You/XXXTENTACION%20x%20Lil%20Pump%20Featuring%20Maluma%20%26%20Swae%20Lee/,2019-01-19
/single/Calling%20My%20Spirit/Kodak%20Black/,2019-01-19
/single/Talk%20To%20Me/Tory%20Lanez%20%26%20Rich%20The%20Kid/,2019-01-19
/single/You/Jacquees/,2019-01-19
/single/Startender/A%20Boogie%20Wit%20da%20Hoodie%20Featuring%20Offset%20%26%20Tyga/,2019-01-19
/single/Last%20Shot/Kip%20Moore/,2019-01-19
/single/No%20Stylist/French%20Montana%20Featuring%20Drake/,2019-01-19
/single/Electricity/Silk%20City%20x%20Dua%20Lipa/,2019-01-19
/single/Envy%20Me/Calboy/,2019-01-19
/single/Ella%20Quiere%20Beber/Anuel%20AA%20%26%20Romeo%20Santos/,2019-01-19
/single/Lovely/Billie%20Eilish%20%26%20Khalid/,2019-01-19
/single/Pure%20Cocaine/Lil%20Baby/,2019-01-19
/single/Millionaire/Chris%20Stapleton/,2019-01-19
/single/When%20The%20Party%27s%20Over/Billie%20Eilish/,2019-01-19
/single/Take%20It%20From%20Me/Jordan%20Davis/,2019-01-19
/single/Can%27t%20Leave%20Without%20It/21%20Savage/,2019-01-19
/single/Yosemite/Travis%20Scott/,2019-01-19
/single/Fine%20China/Future%20%26%20Juice%20WRLD/,2019-01-19
/single/Imagine/Ariana%20Grande/,2019-01-19
/single/What%20Makes%20You%20Country/Luke%20Bryan/,2019-01-19
/single/Down%20To%20The%20Honkytonk/Jake%20Owen/,2019-01-19
/single/Ruin%20My%20Life/Zara%20Larsson/,2019-01-19
/single/BAD%21/XXXTENTACION/,2019-01-19
/single/Smile%20%28Living%20My%20Best%20Life%29/Lil%27%20Duval%20Featuring%20Snoop%20Dogg%20%26%20Ball%20Greezy/,2019-01-19
/single/Blue%20Tacoma/Russell%20Dickerson/,2019-01-19
