date,track,artist
2019-01-26,Wake Up In The Sky,Gucci Mane Bruno Mars Kodak Black
2019-01-26,Money,Cardi B
2019-01-26,Mo Bamba,Sheck Wes
2019-01-26,Better Now,Post Malone
2019-01-26,Youngblood,5 Seconds Of Summer
2019-01-26,Going Bad,Meek Mill  Drake
2019-01-26,Breathin,Ariana Grande
2019-01-26,Taki Taki,DJ Snake  Selena Gomez  Ozuna   Cardi B
2019-01-26,MIA,Bad Bunny  Drake
2019-01-26,Leave Me Alone,Flipp Dinero
2019-01-26,Better,Khalid
2019-01-26,Lucid Dreams,Juice WRLD
2019-01-26,Shallow,Lady Gaga   Bradley Cooper
2019-01-26,Speechless,Dan   Shay
2019-01-26,Beautiful,Bazzi  Camila Cabello
2019-01-26,Lost In The Fire,Gesaffelstein   The Weeknd
2019-01-26,Love Lies,Khalid   Normani
2019-01-26,Trip,Ella Mai
2019-01-26,I Like It,Cardi B  Bad Bunny   J Balvin
2019-01-26,Natural,Imagine Dragons
2019-01-26,Close To Me,Ellie Goulding Diplo  Swae Lee
2019-01-26,Dancing With A Stranger,Sam Smith   Normani
2019-01-26,A Lot,21 Savage
2019-01-26,You Say,Lauren Daigle
2019-01-26,Sweet But Psycho,Ava Max
2019-01-26,Baby Shark,Pinkfong
2019-01-26,She Got The Best Of Me,Luke Combs
2019-01-26,Swervin,A Boogie Wit da Hoodie  6ix9ine
2019-01-26,Look Back At It,A Boogie Wit da Hoodie
2019-01-26,Envy Me,Calboy
2019-01-26,Beautiful Crazy,Luke Combs
2019-01-26,Sixteen,Thomas Rhett
2019-01-26,Be Alright,Dean Lewis
2019-01-26,Backin  It Up,Pardison Fontaine  Cardi B
2019-01-26,Girl Like You,Jason Aldean
2019-01-26,Burning Man,Dierks Bentley  Brothers Osborne
2019-01-26,Best Shot,Jimmie Allen
2019-01-26,Uproar,Lil Wayne
2019-01-26,Nothing Breaks Like A Heart,Mark Ronson  Miley Cyrus
2019-01-26,This Feeling,The Chainsmokers  Kelsea Ballerini
2019-01-26,This Is It,Scotty McCreery
2019-01-26,Good Girl,Dustin Lynch
2019-01-26,Twerk,City Girls  Cardi B
2019-01-26,Calling My Spirit,Kodak Black
2019-01-26,Undecided,Chris Brown
2019-01-26,Saturday Nights,Khalid   Kane Brown
2019-01-26,Armed and Dangerous,Juice WRLD
2019-01-26,Crushed Up,Future
2019-01-26,Consequences,Camila Cabello
2019-01-26,You,Jacquees
2019-01-26,Arms Around You,XXXTENTACION Lil Pump  Maluma   Swae Lee
2019-01-26,No Stylist,French Montana  Drake
2019-01-26,Lovely,Billie Eilish   Khalid
2019-01-26,Startender,A Boogie Wit da Hoodie  Offset   Tyga
2019-01-26,Ella Quiere Beber,Anuel AA   Romeo Santos
2019-01-26,Pure Cocaine,Lil Baby
2019-01-26,Electricity,Silk City Dua Lipa
2019-01-26,Nights Like This,Kehlani  Ty Dolla $ign
2019-01-26,Yosemite,Travis Scott
2019-01-26,Millionaire,Chris Stapleton
2019-01-26,Talk To Me,Tory Lanez   Rich The Kid
2019-01-26,What Makes You Country,Luke Bryan
2019-01-26,When The Party s Over,Billie Eilish
2019-01-26,Thotiana,Blueface
2019-01-26,Take It From Me,Jordan Davis
2019-01-26,Ruin My Life,Zara Larsson
2019-01-26,Down To The Honkytonk,Jake Owen
2019-01-26,Let Me Down Slowly,Alec Benjamin   Alessia Cara
2019-01-26,Jumpin On A Jet,Future
2019-01-26,Love Someone,Lukas Graham
2019-01-26,Body,Loud Luxury  Brando
2019-01-26,Fine China,Future   Juice WRLD
2019-01-26,Nuketown,Ski Mask The Slump God  Juice WRLD
2019-01-26,BAD,XXXTENTACION
2019-01-26,Love Wins,Carrie Underwood
2019-01-26,Roses,Benny Blanco   Juice WRLD  Brendon Urie
2019-01-26,Space Cadet,Metro Boomin  Gunna
2019-01-26,Butterfly Doors,Lil Pump
2019-01-26,Valuable Pain,YoungBoy Never Broke Again
2019-01-26,Blue Tacoma,Russell Dickerson
2019-01-26,Close Friends,Lil Baby
2019-01-26,Can t Leave Without It,21 Savage
2019-01-26,Good Form,Nicki Minaj  Lil Wayne
2019-01-26,Here Tonight,Brett Young
2019-01-26,idontwannabeyouanymore,Billie Eilish
2019-01-26,Ocean Eyes,Billie Eilish
2019-01-26,Burn Out,Midland
2019-01-26,Splashin,Rich The Kid
2019-01-26,Make It Sweet,Old Dominion
2019-02-02,7 Rings,Ariana Grande
2019-02-02,Without Me,Halsey
2019-02-02,Sunflower  Spider-Man  Into The Spider-Verse,Post Malone   Swae Lee
2019-02-02,Thank U  Next,Ariana Grande
2019-02-02,Sicko Mode,Travis Scott
2019-02-02,High Hopes,Panic  At The Disco
2019-02-02,Happier,Marshmello   Bastille
2019-02-02,Wow.,Post Malone
2019-02-02,Girls Like You,Maroon 5  Cardi B
2019-02-02,Drip Too Hard,Lil Baby   Gunna
2019-02-02,Eastside,Benny Blanco  Halsey   Khalid
2019-02-02,ZEZE,Kodak Black  Travis Scott   Offset
2019-02-02,Money,Cardi B
2019-02-02,Going Bad,Meek Mill  Drake
2019-02-02,Wake Up In The Sky,Gucci Mane Bruno Mars Kodak Black
2019-02-02,Mo Bamba,Sheck Wes
2019-02-02,Youngblood,5 Seconds Of Summer
2019-02-02,Taki Taki,DJ Snake  Selena Gomez  Ozuna   Cardi B
2019-02-02,MIA,Bad Bunny  Drake
2019-02-02,Better Now,Post Malone
2019-02-02,Leave Me Alone,Flipp Dinero
2019-02-02,Breathin,Ariana Grande
2019-02-02,Better,Khalid
2019-02-02,Shallow,Lady Gaga   Bradley Cooper
2019-02-02,Lucid Dreams,Juice WRLD
2019-02-02,Middle Child,J. Cole
2019-02-02,Beautiful,Bazzi  Camila Cabello
2019-02-02,Close To Me,Ellie Goulding Diplo  Swae Lee
2019-02-02,Twerk,City Girls  Cardi B
2019-02-02,Trip,Ella Mai
2019-02-02,Speechless,Dan   Shay
2019-02-02,Love Lies,Khalid   Normani
2019-02-02,Lost In The Fire,Gesaffelstein   The Weeknd
2019-02-02,A Lot,21 Savage
2019-02-02,Sweet But Psycho,Ava Max
2019-02-02,Baby Shark,Pinkfong
2019-02-02,I Like It,Cardi B  Bad Bunny   J Balvin
2019-02-02,Keanu Reeves,Logic
2019-02-02,You Say,Lauren Daigle
2019-02-02,Backin  It Up,Pardison Fontaine  Cardi B
2019-02-02,Dancing With A Stranger,Sam Smith   Normani
2019-02-02,Beautiful Crazy,Luke Combs
2019-02-02,Crushed Up,Future
2019-02-02,Look Back At It,A Boogie Wit da Hoodie
2019-02-02,Envy Me,Calboy
2019-02-02,Swervin,A Boogie Wit da Hoodie  6ix9ine
2019-02-02,First Off,Future  Travis Scott
2019-02-02,Burning Man,Dierks Bentley  Brothers Osborne
2019-02-02,Sixteen,Thomas Rhett
2019-02-02,Natural,Imagine Dragons
2019-02-02,Girl Like You,Jason Aldean
2019-02-02,Be Alright,Dean Lewis
2019-02-02,This Is It,Scotty McCreery
2019-02-02,Nothing Breaks Like A Heart,Mark Ronson  Miley Cyrus
2019-02-02,Undecided,Chris Brown
2019-02-02,This Feeling,The Chainsmokers  Kelsea Ballerini
2019-02-02,Jumpin On A Jet,Future
2019-02-02,Good Girl,Dustin Lynch
2019-02-02,Uproar,Lil Wayne
2019-02-02,Best Shot,Jimmie Allen
2019-02-02,Ella Quiere Beber,Anuel AA   Romeo Santos
2019-02-02,Calling My Spirit,Kodak Black
2019-02-02,Armed and Dangerous,Juice WRLD
2019-02-02,Arms Around You,XXXTENTACION Lil Pump  Maluma   Swae Lee
2019-02-02,Never Stop,Future
2019-02-02,Thotiana,Blueface
2019-02-02,You,Jacquees
2019-02-02,Secreto,Anuel AA   Karol G
2019-02-02,No Stylist,French Montana  Drake
2019-02-02,What Makes You Country,Luke Bryan
2019-02-02,Mixed Personalities,YNW Melly  Kanye West
2019-02-02,Consequences,Camila Cabello
2019-02-02,Millionaire,Chris Stapleton
2019-02-02,Yosemite,Travis Scott
2019-02-02,Saturday Nights,Khalid   Kane Brown
2019-02-02,Temptation,Future
2019-02-02,Ruin My Life,Zara Larsson
2019-02-02,Take It From Me,Jordan Davis
2019-02-02,Rocket Ship,Future
2019-02-02,Startender,A Boogie Wit da Hoodie  Offset   Tyga
2019-02-02,Pure Water,Mustard   Migos
2019-02-02,Lovely,Billie Eilish   Khalid
2019-02-02,F N,Future
2019-02-02,Down To The Honkytonk,Jake Owen
2019-02-02,Body,Loud Luxury  Brando
2019-02-02,Love Someone,Lukas Graham
2019-02-02,When The Party s Over,Billie Eilish
2019-02-02,Nights Like This,Kehlani  Ty Dolla $ign
2019-02-02,Pure Cocaine,Lil Baby
2019-02-02,Electricity,Silk City Dua Lipa
2019-02-02,On My Way To You,Cody Johnson
2019-02-02,Make It Sweet,Old Dominion
2019-02-02,Love Wins,Carrie Underwood
2019-02-02,Talk To Me,Tory Lanez   Rich The Kid
2019-02-02,Murder On My Mind,YNW Melly
2019-02-02,GIRL,Maren Morris
2019-02-02,Roses,Benny Blanco   Juice WRLD  Brendon Urie
2019-02-02,Face My Fears,Hikaru Utada   Skrillex
2019-02-02,Imagine,Ariana Grande
2019-02-02,Call The Coroner,Future
2019-02-09,7 Rings,Ariana Grande
2019-02-09,Without Me,Halsey
2019-02-09,Sunflower  Spider-Man  Into The Spider-Verse,Post Malone   Swae Lee
2019-02-09,Middle Child,J. Cole
2019-02-09,Sicko Mode,Travis Scott
2019-02-09,Thank U  Next,Ariana Grande
2019-02-09,High Hopes,Panic  At The Disco
2019-02-09,Happier,Marshmello   Bastille
2019-02-09,Wow.,Post Malone
2019-02-09,Girls Like You,Maroon 5  Cardi B
2019-02-09,Eastside,Benny Blanco  Halsey   Khalid
2019-02-09,Drip Too Hard,Lil Baby   Gunna
2019-02-09,Money,Cardi B
2019-02-09,ZEZE,Kodak Black  Travis Scott   Offset
2019-02-09,Going Bad,Meek Mill  Drake
2019-02-09,Shallow,Lady Gaga   Bradley Cooper
2019-02-09,Wake Up In The Sky,Gucci Mane Bruno Mars Kodak Black
2019-02-09,Mo Bamba,Sheck Wes
2019-02-09,Better Now,Post Malone
2019-02-09,Leave Me Alone,Flipp Dinero
2019-02-09,Youngblood,5 Seconds Of Summer
2019-02-09,MIA,Bad Bunny  Drake
2019-02-09,Better,Khalid
2019-02-09,Taki Taki,DJ Snake  Selena Gomez  Ozuna   Cardi B
2019-02-09,Breathin,Ariana Grande
2019-02-09,A Lot,21 Savage
2019-02-09,Lucid Dreams,Juice WRLD
2019-02-09,Thotiana,Blueface
2019-02-09,Tequila,Dan   Shay
2019-02-09,Close To Me,Ellie Goulding Diplo  Swae Lee
2019-02-09,Dancing With A Stranger,Sam Smith   Normani
2019-02-09,Sweet But Psycho,Ava Max
2019-02-09,Beautiful,Bazzi  Camila Cabello
2019-02-09,Speechless,Dan   Shay
2019-02-09,Trip,Ella Mai
2019-02-09,Baby Shark,Pinkfong
