date,track,artist,URI
2019-01-26,Splashin,Rich The Kid,spotify:track:3KLo7ByvjCNyBrfz5DZ2mO
2019-02-02,7 Rings,Ariana Grande,spotify:track:6ocbgoVGwYJhOv1GgI9NsF
2019-02-02,Middle Child,J. Cole,spotify:track:2JvzF1RMd7lE3KmFlsyZD8
2019-02-02,Keanu Reeves,Logic,spotify:track:3PYx9Wte3jwb48V0wArMOy
2019-02-02,First Off,Future  Travis Scott,spotify:track:3WRIaWsws011vHMd9uzPjG
2019-02-02,Never Stop,Future,spotify:track:1AGPmw3QJBNfOK6XioDhZp
2019-02-02,Secreto,Anuel AA   Karol G,spotify:track:5W83ErFkO3aKAIS1WMi6u0
2019-02-02,Mixed Personalities,YNW Melly  Kanye West,spotify:track:6vWEAOUSxohKxhp0K1BsxL
2019-02-02,Temptation,Future,spotify:track:2gXOzCwbVXACCaYRj4Qrep
2019-02-02,Rocket Ship,Future,spotify:track:4HfaOznGhHYWqPtpLYz2PB
2019-02-02,Pure Water,Mustard   Migos,spotify:track:3j84U36KvLeXNDPv4t5pI8
2019-02-02,F N,Future,spotify:track:59nOXPmaKlBfGMDeOVGrIK
2019-02-02,On My Way To You,Cody Johnson,spotify:track:3OjNkFFZavF89xvRqWCXmU
2019-02-02,Murder On My Mind,YNW Melly,spotify:track:7eBqSVxrzQZtK2mmgRG6lC
2019-02-02,GIRL,Maren Morris,spotify:track:0pGXe7umwkcCm01Ipoxp0U
2019-02-02,Face My Fears,Hikaru Utada   Skrillex,spotify:track:0CALOqrkXAE7WB2nyIATLk
2019-02-02,Call The Coroner,Future,spotify:track:1WlU4jsJ8AoTB96dgd8LJA
2019-02-09,Tequila,Dan   Shay,spotify:track:42fw0rxRO2xbesF6mJfd4Y
2019-02-09,Put A Date On It,Yo Gotti  Lil Baby,spotify:track:6PRh0ilIMEP1xlUHqalnkD
2019-02-09,Bury A Friend,Billie Eilish,spotify:track:4SSnFejRGlZikf02HLewEF
2019-02-09,I m So Tired...,Lauv   Troye Sivan,spotify:track:7LpMG3AEaIJgs62HQhAa91
2019-02-09,Shot Clock,Ella Mai,spotify:track:2GlATHCDbLW7xq5BE0Bz5g
2019-02-09,Sauce,XXXTENTACION,spotify:track:3jq1RpStaB1YGyN3rRZGca
2019-02-09,Con Calma,Daddy Yankee   Katy Perry  Snow,spotify:track:4au7FRcgZzChASRYu279xH
2019-02-09,Night Shift,Jon Pardi,spotify:track:0bPnT6i9H1p8Vd85GS6Z7I
2019-02-16,Alone,Marshmello,spotify:track:3MEYFivt6bilQ9q9mFWZ4g
2019-02-16,One Call,Gunna,spotify:track:3pq5dd3Hwg2uJ3d63v9YRx
