date,track,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,error
2019-01-12,ZEZE,Kodak Black  Travis Scott   Offset,0.861,0.603,8.0,-5.788,0.0,0.176,0.0521,0.0,0.0924,0.504,98.043,0FZ4Dmg8jJJAPJnvBIzD9z,228760.0,4.0,
2019-01-12,Better Now,Post Malone,0.68,0.578,10.0,-5.804,1.0,0.04,0.331,0.0,0.135,0.341,145.038,7dt6x5M1jzdTEt8oCbisTK,231267.0,4.0,
2019-01-12,Eastside,Benny Blanco  Halsey   Khalid,0.632,0.686,6.0,-7.665,0.0,0.243,0.549,0.0,0.2,0.329,89.949,7FGq80cy8juXBCD2nrqdWU,170770.0,4.0,
2019-01-12,Wake Up In The Sky,Gucci Mane Bruno Mars Kodak Black,0.8,0.578,4.0,-5.144,0.0,0.0485,0.00381,0.0,0.359,0.367,143.01,0QIjsbm2fh1cJ45XO9eGqq,204665.0,4.0,
2019-01-12,Wow.,Post Malone,0.829,0.539,11.0,-7.359,0.0,0.208,0.136,1.78e-06,0.103,0.388,99.96,7xQAfvXzm3AkraOtGPWIZg,149547.0,4.0,
2019-01-12,Youngblood,5 Seconds Of Summer,0.596,0.854,7.0,-5.114,0.0,0.463,0.0169,0.0,0.124,0.152,120.274,2iUXsYOEPhVqEBwsqP70rE,203418.0,4.0,
2019-01-12,Mo Bamba,Sheck Wes,0.729,0.625,4.0,-5.266,1.0,0.0315,0.194,0.00986,0.248,0.261,146.034,1xzBco0xcoJEDXktl7Jxrr,183907.0,4.0,
2019-01-12,Breathin,Ariana Grande,0.568,0.656,8.0,-5.413,1.0,0.0433,0.0211,1.37e-05,0.213,0.364,100.049,4OafepJy2teCjYJbvFE60J,198160.0,4.0,
2019-01-12,Money,Cardi B,0.95,0.59,8.0,-6.508,0.0,0.29,0.00534,0.0,0.11,0.219,130.003,2GGMabyHXnJmjY6CXhhB2e,183527.0,4.0,
2019-01-12,Lucid Dreams,Juice WRLD,0.511,0.566,6.0,-7.23,0.0,0.2,0.349,0.0,0.34,0.218,83.903,285pBltuF7vW8TeWk8hdRR,239836.0,4.0,
2019-01-12,Taki Taki,DJ Snake  Selena Gomez  Ozuna   Cardi B,0.842,0.801,8.0,-4.167,0.0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,4w8niZpiMy6qz1mntFA5uM,212500.0,4.0,
2019-01-12,MIA,Bad Bunny  Drake,0.816,0.538,6.0,-6.354,0.0,0.0617,0.0142,0.000496,0.099,0.156,97.054,3gE4eQH3K83Sght0ZLvuBK,210368.0,4.0,
2019-01-12,Going Bad,Meek Mill  Drake,0.889,0.496,4.0,-6.365,0.0,0.0905,0.259,0.0,0.252,0.544,86.003,2IRZnDFmlqMuOrYOLnZZyc,180522.0,4.0,
2019-01-12,Leave Me Alone,Flipp Dinero,0.792,0.743,7.0,-2.806,1.0,0.0851,0.107,0.0,0.183,0.742,150.024,6V7g6qM8wheMivMWrzbPTM,195637.0,4.0,
2019-01-12,Trip,Ella Mai,0.477,0.61,11.0,-5.628,0.0,0.144,0.225,0.0,0.107,0.358,79.882,6CTWathupIiDs7U4InHnDA,213993.0,4.0,
2019-01-12,Speechless,Dan   Shay,0.616,0.438,1.0,-5.968,1.0,0.0298,0.356,0.0,0.24,0.386,135.929,3GJ4hzg4lrGwU51Y3VARbF,213387.0,4.0,
2019-01-12,Natural,Imagine Dragons,0.704,0.611,2.0,-6.112,1.0,0.0409,0.217,0.0,0.0812,0.22,100.0,2FY7b99s15jUprqC0M5NCT,189467.0,4.0,
2019-01-12,I Like It,Cardi B  Bad Bunny   J Balvin,0.816,0.726,5.0,-3.998,0.0,0.129,0.099,0.0,0.372,0.65,136.048,58q2HKrzhC3ozto2nDdN4z,253390.0,4.0,
2019-01-12,Love Lies,Khalid   Normani,0.708,0.648,6.0,-5.626,1.0,0.0449,0.0956,0.0,0.134,0.338,143.955,45Egmo7icyopuzJN0oMEdk,201707.0,4.0,
2019-01-12,Beautiful,Bazzi  Camila Cabello,0.638,0.717,2.0,-4.722,1.0,0.0337,0.346,0.0,0.105,0.249,100.027,4VUwkH455At9kENOfzTqmF,180000.0,4.0,
2019-01-12,Shallow,Lady Gaga   Bradley Cooper,0.572,0.385,7.0,-6.362,1.0,0.0308,0.371,0.0,0.231,0.323,95.799,2VxeLyX666F8uXCJ0dZF8B,215733.0,4.0,
2019-01-12,Better,Khalid,0.596,0.552,0.0,-10.278,0.0,0.097,0.0765,0.334,0.104,0.112,97.949,6zeeWid2sgw4lap2jV61PZ,229320.0,4.0,
2019-01-12,She Got The Best Of Me,Luke Combs,0.533,0.907,11.0,-3.793,1.0,0.0406,0.0292,0.0,0.386,0.7,150.99,698eQRku24PIYPQPHItKlA,183160.0,4.0,
2019-01-12,Baby Shark,Pinkfong,0.829,0.886,8.0,-1.746,1.0,0.112,0.259,0.0,0.0559,0.777,115.056,5ygDXis42ncn6kYG14lEVG,80927.0,4.0,
